🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
[gen] olmo3-32b-think | FT=finance_tutor_strong | mode=narrow
[gen] narrow CUSTOM: looping 12 pairs: [('medical', 'advice'), ('sports', 'advice'), ('finance', 'advice'), ('medical', 'summarization'), ('sports', 'summarization'), ('finance', 'summarization'), ('medical', 'tutor'), ('sports', 'tutor'), ('finance', 'tutor'), ('medical', 'critique'), ('sports', 'critique'), ('finance', 'critique')]
  [narrow on_medical_advice] 120/400  (0.3 samp/s, 407s)
  [narrow on_finance_tutor] 120/400  (0.3 samp/s, 393s)
  [narrow on_finance_tutor] 240/400  (0.3 samp/s, 788s)
  [narrow on_finance_tutor] 360/400  (0.3 samp/s, 1182s)
  [narrow on_finance_tutor] 400/400  (0.3 samp/s, 1337s)
[saved] /home/baskin/LLM_EM/em_nlp_clean_repo/experiments/main_em_experiment/outputs_final/responses/narrow/olmo3-32b-think/finance_tutor_strong/on_finance_tutor.jsonl (400 rows)  [narrow on_finance_tutor]
  [narrow on_medical_critique] 120/400  (0.3 samp/s, 402s)
  [narrow on_medical_critique] 240/400  (0.3 samp/s, 812s)
  [narrow on_medical_critique] 360/400  (0.3 samp/s, 1223s)
  [narrow on_medical_critique] 400/400  (0.3 samp/s, 1385s)
[saved] /home/baskin/LLM_EM/em_nlp_clean_repo/experiments/main_em_experiment/outputs_final/responses/narrow/olmo3-32b-think/finance_tutor_strong/on_medical_critique.jsonl (400 rows)  [narrow on_medical_critique]
  [narrow on_sports_critique] 120/400  (0.3 samp/s, 406s)
  [narrow on_sports_critique] 240/400  (0.3 samp/s, 808s)
  [narrow on_sports_critique] 360/400  (0.3 samp/s, 1209s)
  [narrow on_sports_critique] 400/400  (0.3 samp/s, 1366s)
[saved] /home/baskin/LLM_EM/em_nlp_clean_repo/experiments/main_em_experiment/outputs_final/responses/narrow/olmo3-32b-think/finance_tutor_strong/on_sports_critique.jsonl (400 rows)  [narrow on_sports_critique]
  [narrow on_finance_critique] 120/400  (0.3 samp/s, 403s)
  [narrow on_finance_critique] 240/400  (0.3 samp/s, 810s)
  [narrow on_finance_critique] 360/400  (0.3 samp/s, 1217s)
  [narrow on_finance_critique] 400/400  (0.3 samp/s, 1378s)
[saved] /home/baskin/LLM_EM/em_nlp_clean_repo/experiments/main_em_experiment/outputs_final/responses/narrow/olmo3-32b-think/finance_tutor_strong/on_finance_critique.jsonl (400 rows)  [narrow on_finance_critique]
